
This is the output file for the script demultiplexing.py.
Number of Matched Index Pairs:	331755033	(91.33049275721639%)
Number of Index-Hopped Index Pairs:	707740	(0.19483726398807136%)
Number of Unknown/Low Quality Index Pairs:	30783962	(8.474669978795541%)
Number of Total Index Pairs:	363246735

Counters for Matched Index Pairs

Index Pair	Count	Percentage out of Matched Reads
('A1', 'A1')	7942853	2.394192162866147%
('A10', 'A10')	11741547	3.5392219656242565%
('A11', 'A11')	17332036	5.224347568526564%
('A12', 'A12')	3853350	1.1615046093362509%
('A2', 'A2')	10087503	3.0406480675758125%
('A3', 'A3')	15733007	4.742356689431144%
('A5', 'A5')	5604966	1.6894893648832752%
('A7', 'A7')	3641072	1.0975182402131034%
('A8', 'A8')	8673180	2.614332606070817%
('B1', 'B1')	8119243	2.4473609116278277%
('B10', 'B10')	11316780	3.4111856262328355%
('B2', 'B2')	7416557	2.235552218434618%
('B3', 'B3')	34976387	10.542835381792083%
('B4', 'B4')	8830276	2.661685617893851%
('B7', 'B7')	11184304	3.371253752765222%
('B8', 'B8')	4611350	1.3899864482236808%
('B9', 'B9')	8872034	2.6742726160841697%
('C1', 'C1')	6587100	1.9855312941100127%
('C10', 'C10')	42094112	12.688311498803998%
('C2', 'C2')	6887592	2.076107764731334%
('C3', 'C3')	5064906	1.5267005760844028%
('C4', 'C4')	76363857	23.018145741288574%
('C7', 'C7')	4191388	1.263398466663202%
('C9', 'C9')	10629633	3.2040608107368187%

Counters for All Index Pairs

Index Pair	Count	Percentage out of All Reads
('A1', 'A1')	7942853	2.186627499900309%
('A1', 'A10')	510	0.0001404004360837545%
('A1', 'A11')	665	0.0001830711568543073%
('A1', 'A12')	334	9.194852088622353e-05%
('A1', 'A2')	433	0.00011920272318483469%
('A1', 'A3')	579	0.0001593957892009683%
('A1', 'A5')	361	9.938148514948111e-05%
('A1', 'A7')	193	5.31319297336561e-05%
('A1', 'A8')	415	0.00011424741367599628%
('A1', 'B1')	292	8.038613203226727e-05%
('A1', 'B10')	511	0.0001406757310564677%
('A1', 'B2')	335	9.222381585893677e-05%
('A1', 'B3')	1060	0.0002918126710760387%
('A1', 'B4')	508	0.000139849846138328%
('A1', 'B7')	454	0.00012498391761181282%
('A1', 'B8')	175	4.817662022481771e-05%
